citekey,title,year,venue,url,matched_problems,matched_techs,grid,scenario,relevance_score,citation_count
aeem2025,Addressing Extrapolation Error in Multi-Agent Reinforcement Learning,2025,ICLR,https://arxiv.org/abs/4fJghLR3hk,Agent|Scalability,,S×G,Agent,35.0,0
aegp2025,SOP-Agent: Empower General Purpose AI Agent with Domain-Specific SOPs,2025,ICLR,https://arxiv.org/abs/oWm80iR1m9,Agent,,,Agent,25.0,0
aelm2025,When Attention Sink Emerges in Language Models: An Empirical View,2025,ICLR,https://arxiv.org/abs/78Nn4QJTEN,KV Cache|Quantization,KV Cache|Quantization,K×Q,LLM,26.0,0
aema2025,Flow-of-Action: SOP Enhanced LLM-Based Multi-Agent System for Root Cause Analysis,2025,ICLR,https://arxiv.org/abs/X7dQuJqs8c,Agent,,S×G,Agent,30.0,0
aems2025,EMS: Adaptive Evict-then-Merge Strategy for Head-wise KV Cache Compression Based on Global-Local Importance,2025,ICLR,https://arxiv.org/abs/tcq7n0m7Ml,KV Cache|Throughput,KV Cache,K×Q,LLM,28.0,0
aesb2025,Advancing Expert Specialization for Better MoE,2025,NIPS,https://arxiv.org/abs/iydmH9boLb,MoE,MoE,C×G,,36.0,0
aeto2025,SE-Agent: Self-Evolution Trajectory Optimization in Multi-Step Reasoning with LLM-Based Agents,2025,NIPS,https://arxiv.org/abs/isATAFP71B,Agent,,,Agent,30.0,0
afm2025,Analog Foundation Models,2025,NIPS,https://arxiv.org/abs/zo4zYTR8vn,Quantization,Quantization,W×Q,LLM,26.0,0
afma2025,Asynchronous Factorization for Multi-Agent Reinforcement Learning,2025,ICLR,https://arxiv.org/abs/5pd46nlxc6,,,S×G,Agent,0,0
afps2025,AgentMonitor: A Plug-and-Play Framework for Predictive and Secure Multi-Agent Systems,2025,ICLR,https://arxiv.org/abs/gKM8wwsTOg,Agent,,S×G,Agent,30.0,0
afqe2025,QERA: an Analytical Framework for Quantization Error Reconstruction,2025,ICLR,https://arxiv.org/abs/LB5cKhgOTu,Quantization,Quantization,W×Q,LLM,23.0,0
afte2025,Adaptive Fission: Post-training Encoding for Low-latency Spike Neural Networks,2025,NIPS,https://arxiv.org/abs/2zZzdAMyYi,Latency|Scalability,,,,20.0,0
agaa2025,AdvEDM: Fine-grained Adversarial Attack against VLM-based Embodied Agents,2025,NIPS,https://arxiv.org/abs/jmLCBLeEC4,Agent|Throughput,,,Agent,30.0,0
ager2025,AffordBot: 3D Fine-grained Embodied Reasoning via Multimodal Large Language Models,2025,NIPS,https://arxiv.org/abs/N5vXT7AGuo,Agent,,,Agent,20.0,0
agme2025,Automated Fine-Grained Mixture-of-Experts Quantization,2025,ICLR,https://arxiv.org/abs/etxbRucurT,MoE|Quantization,MoE|Quantization,C×G,LLM,62.0,0
ahac2025,S2-Attention: Hardware-Aware Context Sharding Among Attention Heads,2025,ICLR,https://arxiv.org/abs/OqTVwjLlRI,Scalability,PD Separation|vLLM,,,21.0,0
ahdo2025,Attaining Human's Desirable Outcomes in Indirect Human-AI Interaction via Multi-Agent Influence Diagrams,2025,ICLR,https://arxiv.org/abs/ikhzVHXvXl,Agent,,S×G,Agent,30.0,0
ahls2025,AgentAuditor: Human-level Safety and Security Evaluation for LLM Agents,2025,NIPS,https://arxiv.org/abs/2KKqp7MWJM,Agent,,,Agent,20.0,0
aiad2025,Deep Active Inference Agents for Delayed and Long-Horizon Environments,2025,NIPS,https://arxiv.org/abs/F20AfNqMq9,Agent|Latency,,,Agent,35.0,0
aicd2025,"Agential AI for integrated continual learning, deliberative behavior, and comprehensible models",2025,ICLR,https://arxiv.org/abs/Ltd1DTVjOM,Agent,,,Agent,20.0,0
aisa2025,ARGenSeg: Image Segmentation with Autoregressive Image Generation Model,2025,NIPS,https://arxiv.org/abs/rud3M6wlxH,Latency|Scalability,PD Separation,,LLM,23.0,0
ajdw2025,AutoJudge: Judge Decoding Without Manual Annotation,2025,NIPS,https://arxiv.org/abs/ktNJgpmjjP,Agent|Speculative Decoding,Speculative Decoding,S×G,Agent,31.0,0
akir2025,Assessing the Knowledge-intensive Reasoning Capability of Large Language Models with Realistic Benchmarks Generated Programmatically at Scale,2025,ICLR,https://arxiv.org/abs/iSTMsye6SD,Agent|Scalability,,,Agent,30.0,0
alci2025,"70% Size, 100% Accuracy: Lossless LLM Compression for Efficient GPU Inference via Dynamic-Length Float (DFloat11)",2025,NIPS,https://arxiv.org/abs/xdNAVP7TGy,Latency|Throughput|Scalability,,,LLM,20.0,0
aldp2025,Fast and Accurate Language Model Decoding via Parallel Token Processing,2025,ICLR,https://arxiv.org/abs/IRsxTYPqhQ,,,,LLM,0,0
alll2025,OSDA Agent: Leveraging Large Language Models for De Novo Design of Organic Structure Directing Agents,2025,ICLR,https://arxiv.org/abs/9YNyiCJE3k,Agent,,,Agent,20.0,0
allm2025,The Ability of Large Language Models to Evaluate Constraint-satisfaction in Agent Responses to Open-ended Requests,2025,ICLR,https://arxiv.org/abs/k243qi7S50,Agent,,,Agent,20.0,0
alsa2025,AREAL: A Large-Scale Asynchronous Reinforcement Learning System for Language Reasoning,2025,NIPS,https://arxiv.org/abs/X9diEuva9R,Distributed Inference|Agent|Scalability,,,Agent,35.0,0
alsd2025,Addressing Label Shift in Distributed Learning via Entropy Regularization,2025,ICLR,https://arxiv.org/abs/kuYxecnlv2,Distributed Inference|Scalability,,,,20.0,0
alss2025,A GPU-accelerated Large-scale Simulator for Transportation System Optimization Benchmarking,2025,ICLR,https://arxiv.org/abs/yr0l1IoyzV,Agent|Scalability,,,Agent,20.0,0
alvg2025,Advanced Sign Language Video Generation with Compressed and Quantized Multi-Condition Tokenization,2025,NIPS,https://arxiv.org/abs/6FHvr5hJdd,Throughput|Quantization,Quantization|PD Separation,W×Q,LLM,49.0,0
alvo2025,Re-Aligning Language to Visual Objects with an Agentic Workflow,2025,ICLR,https://arxiv.org/abs/MPJ4SMnScw,Agent,,,Agent,20.0,0
ama2025,A-Mem: Agentic Memory for LLM Agents,2025,NIPS,https://arxiv.org/abs/FiM0M8gcct,KV Cache|Agent,,,Agent,20.0,0
amac2025,AutoData: A Multi-Agent System for Open Web Data Collection,2025,NIPS,https://arxiv.org/abs/x2Rk0lSQra,Agent|Scalability,,S×G,Agent,35.0,0
amae2025,Adversarial Multi-Agent Evaluation of Large Language Models through Iterative Debate,2025,ICLR,https://arxiv.org/abs/06ZvHHBR0i,Agent,,S×G,Agent,30.0,0
amaf2025,AutoKaggle: A Multi-Agent Framework for Autonomous Data Science Competitions,2025,ICLR,https://arxiv.org/abs/09LEjbLcZW,Agent,,S×G,Agent,35.0,0
amai2025,Attractive Metadata Attack: Inducing LLM Agents to Invoke Malicious Tools,2025,NIPS,https://arxiv.org/abs/oLGtPYdRzU,,,,LLM,0,0
amar2025,Role-aware Multi-agent Reinforcement Learning for Coordinated Emergency Traffic Control,2025,NIPS,https://arxiv.org/abs/R3xbcRIzUd,Agent|Latency|Throughput,,S×G,Agent,40.0,0
amem2025,MoE++: Accelerating Mixture-of-Experts Methods with Zero-Computation Experts,2025,ICLR,https://arxiv.org/abs/t7P5BUKcYv,Distributed Inference|Throughput|MoE,MoE,C×G,LLM,46.0,0
amet2025,TC-MoE: Augmenting Mixture of Experts with Ternary Expert Choice,2025,ICLR,https://arxiv.org/abs/dsP91M4hDL,MoE,MoE,C×G,,46.0,0
amga2025,ASDSV: Multimodal Generation Made Efficient with Approximate Speculative Diffusion and Speculative Verification,2025,NIPS,https://arxiv.org/abs/IIGiVRKJYa,Latency|Speculative Decoding,Speculative Decoding,S×G,多模态,28.0,0
ammc2025,Aligning Multimodal Models for Clinical Reasoning using Rule-based Rewards,2025,ICLR,https://arxiv.org/abs/x4W8P7ybTE,Agent|Scalability,,,Agent,20.0,0
amsf2025,Aeolus: A Multi-structural Flight Delay Dataset,2025,NIPS,https://arxiv.org/abs/BIlSrNHdki,Agent|Latency|Throughput|Scalability,,,Agent,30.0,0
amsr2025,AgentBreeder: Mitigating the AI Safety Risks of Multi-Agent Scaffolds via Self-Improvement,2025,NIPS,https://arxiv.org/abs/mlU9KqdZUS,Agent,,S×G,Agent,35.0,0
anar2025,AceReason-Nemotron: Advancing Math and Code Reasoning through Reinforcement Learning,2025,NIPS,https://arxiv.org/abs/EgArbnS0BA,Agent|Scalability,,,Agent,20.0,0
angt2025,Agents' Room: Narrative Generation through Multi-step Collaboration,2025,ICLR,https://arxiv.org/abs/HfWcFs7XLR,Agent,,,Agent,20.0,0
aola2025,Q* Agent: Optimizing Language Agents with Q-Guided Exploration,2025,ICLR,https://arxiv.org/abs/rxUz2DaulF,Agent,,W×L,Agent,20.0,0
aopm2025,Agent-Oriented Planning in Multi-Agent Systems,2025,ICLR,https://arxiv.org/abs/EqcLAU6gyU,Agent|Throughput,,S×G,Agent,50.0,0
aosv2025,Alternating Optimized Stochastic Vector Quantization in Neural Compression,2025,ICLR,https://arxiv.org/abs/4XHyThqt1C,Quantization,Quantization|PD Separation,W×Q,LLM,31.0,0
apds2025,Accelerating Parallel Diffusion Model Serving with Residual Compression,2025,NIPS,https://arxiv.org/abs/jqDtzUQkmu,Latency|Throughput|Scalability,,,LLM,25.0,0
apom2025,MA$^2$E: Addressing Partial Observability in Multi-Agent Reinforcement Learning with Masked Auto-Encoder,2025,ICLR,https://arxiv.org/abs/klpdEThT8q,Agent,,S×G,Agent,30.0,0
appa2025,Adaptive Prediction-Powered AutoEval with Reliability and Efficiency Guarantees,2025,NIPS,https://arxiv.org/abs/nfhmjdZUbQ,Agent|Scalability|Quantization,Quantization,W×Q,Agent,23.0,0
aqat2025,Accelerate Quantization Aware Training for Diffusion Models with Difficulty-aware Time Allocation,2025,ICLR,https://arxiv.org/abs/XQQMKhGBoY,Quantization,Quantization,W×Q,LLM,23.0,0
aqgn2025,Adaptive Quantization in Generative Flow Networks for Probabilistic Sequential Prediction,2025,NIPS,https://arxiv.org/abs/18GBPdnuXs,Quantization,Quantization,W×Q,LLM,36.0,0
aqma2025,R&D-Agent-Quant: A Multi-Agent Framework for Data-Centric Factors and Model Joint Optimization,2025,NIPS,https://arxiv.org/abs/9VxTXAUH7G,Agent,,S×G,Agent,30.0,0
aqrp2025,To FP8 and Back Again: Quantifying Reduced Precision Effects on LLM Training Stability,2025,ICLR,https://arxiv.org/abs/pNgyXuGcx4,Quantization,Quantization,W×Q,LLM,36.0,0
aqsa2025,SynQ: Accurate Zero-shot Quantization by Synthesis-aware Fine-tuning,2025,ICLR,https://arxiv.org/abs/2rnOgyFQgb,Quantization,Quantization,W×Q,LLM,36.0,0
aqvd2025,$\text{S}^2$Q-VDiT: Accurate Quantized Video Diffusion Transformer with Salient Data and Sparse Token Distillation,2025,NIPS,https://arxiv.org/abs/e8pm93koQU,Quantization,Quantization,W×Q,LLM,36.0,0
arcv2025,Addressing Representation Collapse in Vector Quantized Models with One Linear Layer,2025,ICLR,https://arxiv.org/abs/SqUiGfJ1So,Scalability|Quantization,Quantization,W×Q,LLM,46.0,0
ards2025,Agents Robust to Distribution Shifts Learn Causal World Models Even Under Mediation,2025,NIPS,https://arxiv.org/abs/JvHif4fyeP,Agent,,,Agent,20.0,0
arfh2025,Gödel Agent: A Self-Referential Framework Helps for Recursively Self-Improvement,2025,ICLR,https://arxiv.org/abs/dML3XGvWmy,Agent,,,Agent,20.0,0
argp2025,Advancing LLM Reasoning Generalists with Preference Trees,2025,ICLR,https://arxiv.org/abs/2ea5TNVR0c,Agent|Scalability,,,Agent,25.0,0
arig2025,Accelerating Auto-regressive Text-to-Image Generation with Training-free Speculative Jacobi Decoding,2025,ICLR,https://arxiv.org/abs/LZfjxvqw0N,Speculative Decoding,Speculative Decoding,S×G,,23.0,0
arp2025,Look-Ahead Reasoning on Learning Platforms,2025,NIPS,https://arxiv.org/abs/6l3llg5ZeO,,,,,0,0
arr2025,Absolute Zero: Reinforced Self-play Reasoning with Zero Data,2025,NIPS,https://arxiv.org/abs/neZSGqhxDa,Agent|Throughput|Scalability,,C×G,Agent,30.0,0
arrs2025,SWE-RL: Advancing LLM Reasoning via Reinforcement Learning on Open Software Evolution,2025,NIPS,https://arxiv.org/abs/ULblO61XZ0,Agent|Scalability,,,Agent,20.0,0
arso2025,Do LLM Agents Have Regret? A Case Study in Online Learning and Games,2025,ICLR,https://arxiv.org/abs/qn9tBYQHGi,Agent,,,Agent,20.0,0
aruq2025,AbstentionBench: Reasoning LLMs Fail on Unanswerable Questions,2025,NIPS,https://arxiv.org/abs/OkHC30LLpO,,,,LLM,0,0
ases2025,LLM Agents Should Employ Security Principles,2025,NIPS,https://arxiv.org/abs/XR9UpqWhmT,Agent|Scalability,,,Agent,25.0,0
asih2025,AgentStore: Scalable Integration of Heterogeneous Agents As Specialized Generalist Computer Assistant,2025,ICLR,https://arxiv.org/abs/0sr8bS4S2H,Agent,,,Agent,20.0,0
askd2025,AdaSPEC: Selective Knowledge Distillation for Efficient Speculative Decoders,2025,NIPS,https://arxiv.org/abs/zNLlglSOwD,Agent|Speculative Decoding,Speculative Decoding|PD Separation,S×G,Agent,49.0,0
asmd2025,AccuQuant: Simulating Multiple Denoising Steps for Quantizing Diffusion Models,2025,NIPS,https://arxiv.org/abs/Or1pDhbSag,Quantization,Quantization,W×Q,LLM,26.0,0
asmi2025,AutoToM: Scaling Model-based Mental Inference via Automated Agent Modeling,2025,NIPS,https://arxiv.org/abs/oeZZusZheP,Agent,,,Agent,25.0,0
asre2025,AI Agents Should be Regulated Based on the Extent of Their Autonomous Operations,2025,NIPS,https://arxiv.org/abs/RyBZXCVr1k,,,,Agent,0,0
assb2025,AgentOccam: A Simple Yet Strong Baseline for LLM-Based Web Agents,2025,ICLR,https://arxiv.org/abs/oWdzUpOlkX,Agent,,,Agent,20.0,0
asse2025,Agentic RL Scaling Law: Spontaneous Code Execution for Mathematical Problem Solving,2025,NIPS,https://arxiv.org/abs/kXieirlPjF,Agent|Scalability,,,Agent,25.0,0
atde2025,Atomic Thinking of LLMs: Decoupling and Exploring Mathematical Reasoning Abilities,2025,NIPS,https://arxiv.org/abs/iBFfb6bGOz,Agent|Scalability,,,Agent,20.0,0
atgo2025,Automated Red Teaming with GOAT: the Generative Offensive Agent Tester,2025,ICLR,https://arxiv.org/abs/Ly0SQh7Urv,Agent|Scalability,,,Agent,25.0,0
atgr2025,CPPO: Accelerating the Training of Group Relative Policy Optimization-Based Reasoning Models,2025,NIPS,https://arxiv.org/abs/SVHerutWxp,,,,,0,0
atll2025,CoP: Agentic Red-teaming for Large Language Models using Composition of Principles,2025,NIPS,https://arxiv.org/abs/6zfILEmD3u,Agent|Scalability,,,Agent,20.0,0
atpm2025,AttentionPredictor: Temporal Patterns Matter for KV Cache Compression,2025,NIPS,https://arxiv.org/abs/Guar1tumDr,KV Cache,KV Cache,K×Q,,23.0,0
atpp2025,TPP-SD: Accelerating Transformer Point Process Sampling with Speculative Decoding,2025,NIPS,https://arxiv.org/abs/LkqK19tqgx,Speculative Decoding,Speculative Decoding,S×G,LLM,36.0,0
atua2025,GAM-Agent: Game-Theoretic and Uncertainty-Aware Collaboration for Complex Visual Reasoning,2025,NIPS,https://arxiv.org/abs/EKJhU5ioSo,Agent|Scalability,,,Agent,40.0,0
aucu2025,AskChart: Universal Chart Understanding through Textual Enhancement,2025,ICLR,https://arxiv.org/abs/SFkIb7pb8x,Scalability|MoE,MoE,C×G,,31.0,0
auqv2025,QSVD: Efficient Low-rank Approximation for Unified Query-Key-Value Weight Compression in Low-Precision Vision-Language Models,2025,NIPS,https://arxiv.org/abs/sEFDhxF1mG,KV Cache|Scalability|Quantization,KV Cache|Quantization,K×Q,LLM,31.0,0
auva2025,Aguvis: Unified Pure Vision Agents for Autonomous GUI Interaction,2025,ICLR,https://arxiv.org/abs/FHtHH4ulEQ,Agent|Scalability,,,Agent,35.0,0
avgw2025,Autoregressive Video Generation without Vector Quantization,2025,ICLR,https://arxiv.org/abs/JE9tCwe3lp,Latency|Quantization,Quantization,W×Q,LLM,41.0,0
avla2025,AutoVLA: A Vision-Language-Action Model for End-to-End Autonomous Driving with Adaptive Reasoning and Reinforcement Fine-Tuning,2025,NIPS,https://arxiv.org/abs/28qUA2bSe5,Agent,,,Agent,20.0,0
avog2025,ActiveVOO: Value of Observation Guided Active Knowledge Acquisition for Open-World Embodied Lifted Regression Planning,2025,NIPS,https://arxiv.org/abs/cZVYswQQMt,Agent,,,Agent,20.0,0
avqv2025,RAQ-VAE: Rate-Adaptive Vector-Quantized Variational Autoencoder,2025,ICLR,https://arxiv.org/abs/iqqpx8hgSQ,Scalability|Quantization,Quantization,W×Q,LLM,28.0,0
avua2025,Adaptive Video Understanding Agent: Enhancing Efficiency with Dynamic Frame Sampling and Feedback-driven Reasoning,2025,ICLR,https://arxiv.org/abs/dOwmtbn6ZO,Agent,,,Agent,30.0,0
awcc2025,ACCO: Accumulate While You Communicate for Communication-Overlapped Sharded LLM Training,2025,NIPS,https://arxiv.org/abs/1qKUVyymXs,Distributed Inference|Latency|Scalability,,C×G,LLM,20.0,0
awch2025,"ACCO: Accumulate while you Communicate, Hiding Communications in Distributed LLM Training",2025,ICLR,https://arxiv.org/abs/UV1jr2aJ2J,Distributed Inference|Latency|Scalability,,C×G,LLM,25.0,0
awdp2025,SwS: Self-aware Weakness-driven Problem Synthesis in Reinforcement Learning for LLM Reasoning,2025,NIPS,https://arxiv.org/abs/0jQUNQsZra,Agent|Scalability,,,Agent,20.0,0
awml2025,Web Agents with World Models: Learning and Leveraging Environment Dynamics in Web Navigation,2025,ICLR,https://arxiv.org/abs/moWiYJuSGF,Agent,,,Agent,20.0,0
awst2025,Alice in Wonderland: Simple Tasks Reveal Severe Generalization and Basic Reasoning Deficits in State-Of-the-Art Large Language Models,2025,ICLR,https://arxiv.org/abs/EJgxMsiAO9,Agent|Scalability,,,Agent,20.0,0
baba2025,SEC-bench: Automated Benchmarking of LLM Agents on Real-World Software Security Tasks,2025,NIPS,https://arxiv.org/abs/QQhQIqons0,Agent,,,Agent,20.0,0
badd2025,Beyond Autoregression: Discrete Diffusion for Complex Reasoning and Planning,2025,ICLR,https://arxiv.org/abs/NRYgUzSPZz,Agent,,,Agent,30.0,0
badg2025,BioDiscoveryAgent: An AI Agent for Designing Genetic Perturbation Experiments,2025,ICLR,https://arxiv.org/abs/HAwZGLcye3,Agent,,,Agent,20.0,0
bami2025,Building Math Agents with Multi-Turn Iterative Preference Learning,2025,ICLR,https://arxiv.org/abs/WjKea8bGFF,Agent,,,Agent,20.0,0
baps2025,"MoE-CAP: Benchmarking Cost, Accuracy and Performance of Sparse Mixture-of-Experts Systems",2025,NIPS,https://arxiv.org/abs/k2fWVhG0u5,MoE,MoE,C×G,,23.0,0
basa2025,WASP: Benchmarking Web Agent Security Against Prompt Injection Attacks,2025,NIPS,https://arxiv.org/abs/Ip1cCUAllL,Agent,,,Agent,20.0,0
bawg2025,Benchmarking Agentic Workflow Generation,2025,ICLR,https://arxiv.org/abs/vunPXOFmoi,Agent,,,Agent,25.0,0
bbar2025,BALROG: Benchmarking Agentic LLM and VLM Reasoning On Games,2025,ICLR,https://arxiv.org/abs/fp6t3F669F,Agent,,,Agent,35.0,0
bbgs2025,BRIDGE: Bootstrapping Text to Guide Time-Series Generation via Multi-Agent Iterative Optimisation and Diffusion Modelling,2025,ICLR,https://arxiv.org/abs/iGV6Sg5bI0,,,S×G,Agent,0,0
bcje2025,BrainMoE: Cognition Joint Embedding via Mixture-of-Expert Towards Robust Brain Foundation Model,2025,NIPS,https://arxiv.org/abs/05cVmYJJnb,Scalability|MoE,MoE|PD Separation,C×G,,36.0,0
bcma2025,Belief-Calibrated Multi-Agent Consensus Seeking for Complex NLP Tasks,2025,NIPS,https://arxiv.org/abs/AYqtMLRwzj,Agent,,S×G,Agent,30.0,0
bcmr2025,Breaking the Curse of Multiagency in Robust Multi-Agent Reinforcement Learning,2025,ICLR,https://arxiv.org/abs/ySRsm6HDy5,Agent|Scalability,,S×G,Agent,35.0,0
bcqi2025,BCQ: Block Clustered Quantization for 4-bit (W4A4) LLM inference,2025,ICLR,https://arxiv.org/abs/UKjAwMzX4m,Quantization,Quantization,W×Q,LLM,23.0,0
bcts2025,Efficient Bayesian DNN Compression through Sparse Quantized Sub-distributions,2025,ICLR,https://arxiv.org/abs/u48BF5O7oL,Quantization,Quantization,W×Q,LLM,36.0,0
